Date,Product,Category,Quantity,Unit_Price,Sales,Region
2023-11-11,Conference Room Table,,3,773.71,2321.13,North
2025-08-13,Ergonomic Mechanical Keyboard,Technology,3,131.3,393.9,North
2022-04-05,Heavy-Duty Stapler & Staples,Office Supplies,1,24.19,24.19,East
2025-09-02,Laptop Pro 15,Technology,2,1174.94,2349.88,North
2025-03-09,Precision Wireless Mouse,Electronics Accessories,15,39.52,592.8,North
2022-08-24,Self-Adhesive Sticky Notes Bulk,Office Supplies,1,15.42,15.42,Central
2021-04-02,External SSD 1TB,Electronics Accessories,1,104.67,104.67,South
2024-01-10,Ergonomic Mechanical Keyboard,Technology,1,134.32,134.32,South
2025-12-01,Heavy-Duty Stapler & Staples,Office Supplies,1,24.8,24.8,Central
2023-03-27,Heavy-Duty Stapler & Staples,Office Supplies,5,24.73,123.65,South
2022-12-21,Standing Desk Converter,Furniture,1,171.8,197.57,East
2023-12-01,Executive Ergonomic Desk,Furniture,2,536.97,1073.94,North
2025-02-04,Laptop Pro 15,Technology,1,1232.66,1232.66,North
2025-02-22,4K Ultra HD Monitor,Technology,2,360.15,720.3,South
2023-12-08,Laptop Pro 15,Technology,1,1214.79,1397.01,East
2023-08-19,Document Filing Cabinet Tray,Office Supplies,5,35.48,177.4,South
2023-02-06,Precision Wireless Mouse,Electronics Accessories,2,41.03,82.06,South
2025-05-18,Smartphone Ultra,Technology,1,857.28,857.28,Central
2024-12-01,Conference Room Table,Furniture,5,799.68,4598.16,East
2024-01-15,Ergonomic Mechanical Keyboard,Technology,1,124.49,124.49,Central
2025-07-02,Multipurpose Copy Paper (Carton),Office Supplies,2,40.82,81.64,North
2025-02-05,Precision Wireless Mouse,Electronics Accessories,1,39.29,39.29,South
2023-08-31,Laptop Pro 15,Technology,1,1217.71,1217.71,Central
2024-06-11,4K Ultra HD Monitor,Technology,1,347.1,347.1,South
2022-03-18,External SSD 1TB,Electronics Accessories,1,108.93,108.93,Central
2023-08-10,Smartphone Ultra,Technology,1,919.09,919.09,North
2025-10-26,Heavy-Duty Stapler & Staples,Office Supplies,1,24.77,24.77,Central
2025-09-30,Smartphone Ultra,Technology,2,902.77,1805.54,North
2021-10-21,Gel Pens Pack (24ct),Office Supplies,1,18.51,18.51,South
2024-05-09,Gel Pens Pack (24ct),Office Supplies,3,19.34,58.02,South
2022-02-07,Ergonomic Mechanical Keyboard,Technology,1,134.65,134.65,West
2023-07-18,HD Streaming Webcam 1080p,Electronics Accessories,1,71.01,71.01,South
2021-05-31,Executive Ergonomic Desk,Furniture,3,558.65,1675.95,East
2025-05-15,Document Filing Cabinet Tray,Office Supplies,15,33.86,507.9,South
2023-10-12,HD Streaming Webcam 1080p,Electronics Accessories,5,70.4,352.0,South
2025-08-24,4K Ultra HD Monitor,Technology,2,362.46,724.92,East
2024-06-04,Wireless Noise-Canceling Headphones,Technology,2,207.96,415.92,South
2021-12-04,External SSD 1TB,Electronics Accessories,1,104.55,120.23,
2024-07-24,HD Streaming Webcam 1080p,Electronics Accessories,1,71.48,71.48,North
2022-04-05,Bookshelf 5-Tier,Furniture,2,151.35,302.7,East
2021-01-27,Self-Adhesive Sticky Notes Bulk,Office Supplies,5,15.48,77.4,West
2023-10-17,Standing Desk Converter,Furniture,4,183.03,732.12,West
2024-04-10,4K Ultra HD Monitor,Technology,1,359.39,359.39,Central
2023-11-27,Braided HDMI 4K Cable (2-Pack),Electronics Accessories,3,20.76,71.62,South
